"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","price_include_override","amount","tax_group_id","children_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","active","include_base_amount","is_base_affected","fiscal_position_ids","original_tax_ids"
"l10n_jp_tax_sale_10_type_1","10% Type 1","19","Simplified Taxpayer: Standard Rate","10% Business Type 1","sale","","percent","","10","","","","base","invoice","","+S4_3_1_1B||+S5_3_7B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_B1","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1B||-S5_3_7B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_B1","True","","","",""
"l10n_jp_tax_sale_8_type_1","8% Type 1","20","Simplified Taxpayer: Reduced Rate","8% Business Type 1","sale","","percent","","8","","","","base","invoice","","+S4_3_1_1A||+S5_3_7A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_sale_10_type_1"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_A1","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1A||-S5_3_7A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_A1","True","","","",""
"l10n_jp_tax_sale_10_type_2","10% Type 2","21","Simplified Taxpayer: Standard Rate","10% Business Type 2","sale","","percent","","10","","","","base","invoice","","+S4_3_1_1B||+S5_3_8B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_B2","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1B||-S5_3_8B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_B2","True","","","",""
"l10n_jp_tax_sale_8_type_2","8% Type 2","22","Simplified Taxpayer: Reduced Rate","8% Business Type 2","sale","","percent","","8","","","","base","invoice","","+S4_3_1_1A||+S5_3_8A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_sale_10_type_2"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_A2","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1A||-S5_3_8A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_A2","True","","","",""
"l10n_jp_tax_sale_10_type_3","10% Type 3","23","Simplified Taxpayer: Standard Rate","10% Business Type 3","sale","","percent","","10","","","","base","invoice","","+S4_3_1_1B||+S5_3_9B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_B3","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1B||-S5_3_9B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_B3","True","","","",""
"l10n_jp_tax_sale_8_type_3","8% Type 3","24","Simplified Taxpayer: Reduced Rate","8% Business Type 3","sale","","percent","","8","","","","base","invoice","","+S4_3_1_1A||+S5_3_9A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_sale_10_type_3"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_A3","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1A||-S5_3_9A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_A3","True","","","",""
"l10n_jp_tax_sale_10_type_4","10% Type 4","25","Simplified Taxpayer: Standard Rate","10% Business Type 4","sale","","percent","","10","","","","base","invoice","","+S4_3_1_1B||+S5_3_10B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_B4","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1B||-S5_3_10B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_B4","True","","","",""
"l10n_jp_tax_sale_8_type_4","8% Type 4","26","Simplified Taxpayer: Reduced Rate","8% Business Type 4","sale","","percent","","8","","","","base","invoice","","+S4_3_1_1A||+S5_3_10A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_sale_10_type_4"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_A4","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1A||-S5_3_10A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_A4","True","","","",""
"l10n_jp_tax_sale_10_type_5","10% Type 5","27","Simplified Taxpayer: Standard Rate","10% Business Type 5","sale","","percent","","10","","","","base","invoice","","+S4_3_1_1B||+S5_3_11B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_B5","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S4_3_1_1B||-S5_3_11B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_330800","-S5_3_B5","True","","","",""
"l10n_jp_tax_sale_8_type_5","8% Type 5","28","Simplified Taxpayer: Reduced Rate","8% Business Type 5","sale","","percent","","8","","","","base","invoice","","+S4_3_1_1A||+S5_3_11A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_sale_10_type_5"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","+S5_3_A5","True","","","",""
