"id","sequence","description","invoice_label","name","amount","amount_type","children_tax_ids","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@tr","price_include_override","l10n_tr_tax_withholding_code_id"
"tr_s_wh_20_IMH","1","Construction Works and Engineering-Architecture and Survey-Project Services Performed Along with These Works","-8%","WH 20% (4/10) - İMH","-8.0","percent","","none","tr_tax_group_wh_İMH","base","invoice","","+SAL_20_BASE_4_10","Tevkif KDV %20 (4/10) - İMH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_İMH"
"tr_s_vat_wh_20_TMH","37","sales VAT with Withholding Tax 20% (9/10) - TMH","","WH 20% (9/10) - TMH","0.0","group","tr_s_wh_20_TMH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - TMH","",""
"tr_s_vat_wh_20_SKGI","38","sales VAT with Withholding Tax 20% (9/10) - SKGİ","","WH 20% (9/10) - SKGİ","0.0","group","tr_s_wh_20_SKGI,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - SKGİ","",""
"tr_s_vat_wh_20_TH","39","sales VAT with Withholding Tax 20% (9/10) - TH","","WH 20% (9/10) - TH","0.0","group","tr_s_wh_20_TH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - TH","",""
"tr_s_vat_wh_20_CBH","40","sales VAT with Withholding Tax 20% (9/10) - ÇBH","","WH 20% (9/10) - ÇBH","0.0","group","tr_s_wh_20_CBH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - ÇBH","",""
"tr_s_vat_wh_20_STH","41","sales VAT with Withholding Tax 20% (5/10) - STH","","WH 20% (5/10) - STH","0.0","group","tr_s_wh_20_STH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - STH","",""
"tr_s_vat_wh_20_BBH","42","sales VAT with Withholding Tax 20% (7/10) - BBH","","WH 20% (7/10) - BBH","0.0","group","tr_s_wh_20_BBH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - BBH","",""
"tr_s_vat_wh_20_DH","43","sales VAT with Withholding Tax 20% (5/10) - DH","","WH 20% (5/10) - DH","0.0","group","tr_s_wh_20_DH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - DH","",""
"tr_s_vat_wh_20_HMK","44","sales VAT with Withholding Tax 20% (7/10) - HMK","","WH 20% (7/10) - HMK","0.0","group","tr_s_wh_20_HMK,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - HMK","",""
"tr_s_vat_wh_20_DMK","45","sales VAT with Withholding Tax 20% (7/10) - DMK","","WH 20% (7/10) - DMK","0.0","group","tr_s_wh_20_DMK,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - DMK","",""
"tr_s_vat_wh_20_MUT","46","sales VAT with Withholding Tax 20% (7/10) - MÜT","","WH 20% (7/10) - MÜT","0.0","group","tr_s_wh_20_MUT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - MÜT","",""
